Time,	Acc X,	Acc Y,	Acc Z,	GYR X,	GYR Y,	GYR Z
14.316262463451398,	-0.1599999964237213,	0.0,	9.5600004196167,	-0.0625,	0.125,	-0.125
14.321909904265382,	-0.1599999964237213,	0.0,	9.5600004196167,	-0.0625,	0.125,	-0.125
14.327557345079367,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0625,	-0.1875,	-0.1875
14.333204785893352,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	-0.1875,	-0.1875
14.338852226707337,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	0.1875,	-0.0625
14.34449966752132,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0625,	0.125,	-0.125
14.350147108335307,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0625,	0.125,	-0.125
14.35579454914929,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0625,	0.0,	-0.0625
14.361441989963275,	-0.1899999976158142,	-0.009999999776482582,	9.5600004196167,	0.0625,	0.0,	-0.0625
14.367089430777261,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.125
14.372736871591245,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.125
14.37838431240523,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	-0.0625,	-0.0625
14.384031753219215,	-0.1899999976158142,	-0.009999999776482582,	9.5600004196167,	0.0625,	-0.0625,	-0.0625
14.3896791940332,	-0.18000000715255737,	-0.019999999552965164,	9.569999694824219,	-0.0625,	0.0,	-0.0625
14.395326634847184,	-0.18000000715255737,	-0.019999999552965164,	9.569999694824219,	0.0,	0.125,	0.0
14.40097407566117,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0,	0.125,	0.0
14.406621516475154,	-0.17000000178813934,	-0.019999999552965164,	9.550000190734863,	-0.0625,	0.0625,	-0.0625
14.412268957289138,	-0.17000000178813934,	-0.019999999552965164,	9.550000190734863,	-0.0625,	0.0625,	-0.0625
14.417916398103124,	-0.1599999964237213,	0.0,	9.569999694824219,	0.0,	0.0,	-0.125
14.423563838917108,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0,	0.0,	-0.125
14.429211279731092,	-0.1599999964237213,	0.0,	9.539999961853027,	-0.0625,	-0.125,	-0.125
14.434858720545078,	-0.1599999964237213,	0.0,	9.539999961853027,	-0.0625,	-0.125,	-0.125
14.440506161359062,	-0.1599999964237213,	0.0,	9.5600004196167,	0.0,	0.0,	-0.0625
14.446153602173048,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.0625,	0.0,	0.0625
14.451801042987032,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.0625,	0.0,	0.0625
14.457448483801016,	-0.17000000178813934,	0.0,	9.579999923706055,	-0.0625,	-0.1875,	0.0
14.463095924615002,	-0.18000000715255737,	0.009999999776482582,	9.529999732971191,	-0.0625,	-0.1875,	0.0
14.468743365428987,	-0.18000000715255737,	0.009999999776482582,	9.529999732971191,	0.0,	0.0,	0.125
14.47439080624297,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	0.0,	0.125
14.480038247056957,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.0625,	0.0625,	-0.0625
14.48568568787094,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	0.0625,	-0.0625
14.491333128684925,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.25,	-0.125
14.496980569498911,	-0.1899999976158142,	-0.009999999776482582,	9.539999961853027,	0.0,	0.0625,	-0.125
14.502628010312895,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0,	0.0625,	-0.125
14.50827545112688,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0,	-0.1875,	-0.125
14.513922891940865,	-0.17000000178813934,	0.0,	9.579999923706055,	0.0,	-0.1875,	-0.125
14.51957033275485,	-0.1599999964237213,	-0.009999999776482582,	9.520000457763672,	0.125,	-0.0625,	-0.0625
14.525217773568833,	-0.1599999964237213,	-0.009999999776482582,	9.520000457763672,	0.125,	-0.0625,	-0.0625
14.53086521438282,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	0.0625,	-0.1875
14.536512655196804,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0625,	-0.0625,	-0.1875
14.542160096010788,	-0.17000000178813934,	0.0,	9.520000457763672,	0.0625,	-0.0625,	-0.1875
14.547807536824774,	-0.17000000178813934,	0.0,	9.520000457763672,	0.0,	-0.0625,	-0.0625
14.553454977638758,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.0625
14.559102418452742,	-0.1899999976158142,	0.009999999776482582,	9.520000457763672,	-0.0625,	0.0,	-0.0625
14.564749859266728,	-0.1899999976158142,	0.009999999776482582,	9.520000457763672,	-0.0625,	0.0,	-0.0625
14.570397300080712,	-0.1599999964237213,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.1875
14.576044740894696,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0,	-0.0625,	-0.1875
14.581692181708682,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	-0.125,	0.0625,	-0.125
14.587339622522666,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.125,	0.0,	-0.0625
14.59298706333665,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.125,	0.0,	-0.0625
14.598634504150636,	-0.15000000596046448,	0.0,	9.569999694824219,	0.0,	-0.25,	-0.1875
14.60428194496462,	-0.15000000596046448,	0.0,	9.569999694824219,	0.0,	-0.25,	-0.1875
14.609929385778605,	-0.18000000715255737,	-0.019999999552965164,	9.550000190734863,	0.125,	-0.125,	-0.0625
14.61557682659259,	-0.17000000178813934,	0.0,	9.510000228881836,	0.125,	-0.125,	-0.0625
14.621224267406575,	-0.17000000178813934,	0.0,	9.510000228881836,	-0.125,	0.0,	-0.125
14.62687170822056,	-0.17000000178813934,	0.0,	9.539999961853027,	0.0625,	-0.125,	0.0
14.632519149034545,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.125,	0.0
14.63816658984853,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	-0.0625,	-0.0625,	-0.125
14.643814030662515,	-0.18000000715255737,	-0.009999999776482582,	9.520000457763672,	-0.0625,	-0.0625,	-0.125
14.6494614714765,	-0.1599999964237213,	0.0,	9.550000190734863,	0.125,	0.0,	-0.1875
14.655108912290483,	-0.18000000715255737,	0.0,	9.5600004196167,	0.125,	0.0,	-0.1875
14.66075635310447,	-0.18000000715255737,	0.0,	9.5600004196167,	-0.0625,	-0.0625,	-0.125
14.666403793918454,	-0.17000000178813934,	0.0,	9.550000190734863,	0.125,	-0.1875,	0.0
14.672051234732438,	-0.15000000596046448,	0.0,	9.539999961853027,	0.125,	-0.1875,	0.0
14.677698675546424,	-0.15000000596046448,	0.0,	9.539999961853027,	-0.0625,	-0.125,	-0.0625
14.683346116360408,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	-0.125,	-0.0625
14.688993557174392,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	-0.1875,	0.0625
14.694640997988378,	-0.17000000178813934,	-0.009999999776482582,	9.529999732971191,	0.0,	-0.1875,	0.0625
14.700288438802362,	-0.17000000178813934,	-0.009999999776482582,	9.529999732971191,	0.0625,	0.0,	-0.0625
14.705935879616346,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.0625
14.711583320430332,	-0.17000000178813934,	0.0,	9.5600004196167,	-0.0625,	-0.0625,	-0.0625
14.717230761244316,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	-0.0625,	-0.0625
14.7228782020583,	-0.1899999976158142,	0.0,	9.569999694824219,	0.0,	-0.0625,	-0.0625
14.728525642872286,	-0.1599999964237213,	0.0,	9.539999961853027,	0.0625,	-0.125,	0.0
14.73417308368627,	-0.1599999964237213,	0.0,	9.539999961853027,	0.0625,	-0.125,	0.0
14.739820524500255,	-0.18000000715255737,	0.009999999776482582,	9.539999961853027,	-0.0625,	-0.125,	0.0
14.74546796531424,	-0.1899999976158142,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.125,	0.0
14.751115406128225,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0,	-0.1875,	-0.0625
14.756762846942209,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0,	0.0
14.762410287756195,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	0.0,	0.0,	0.0
14.768057728570179,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0,	0.0625
14.773705169384163,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0,	0.0625
14.77935261019815,	-0.17000000178813934,	-0.019999999552965164,	9.539999961853027,	0.0625,	-0.0625,	0.0
14.785000051012133,	-0.1599999964237213,	0.0,	9.5600004196167,	0.0625,	-0.0625,	0.0
14.79064749182612,	-0.1599999964237213,	0.0,	9.5600004196167,	0.0625,	-0.125,	-0.0625
14.796294932640103,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	0.0625,	-0.125,	-0.0625
14.801942373454088,	-0.1899999976158142,	-0.019999999552965164,	9.5600004196167,	0.125,	0.0,	-0.125
14.807589814268074,	-0.1599999964237213,	0.0,	9.539999961853027,	0.25,	0.0,	-0.125
14.813237255082058,	-0.1599999964237213,	0.0,	9.539999961853027,	0.25,	0.0,	-0.125
14.818884695896042,	-0.1599999964237213,	0.0,	9.579999923706055,	0.0,	0.0625,	-0.0625
14.824532136710028,	-0.1599999964237213,	0.0,	9.529999732971191,	0.0,	0.0625,	-0.0625
14.830179577524012,	-0.1599999964237213,	0.0,	9.529999732971191,	-0.125,	0.0,	-0.125
14.835827018337996,	-0.18000000715255737,	0.0,	9.520000457763672,	-0.125,	0.0,	-0.125
14.841474459151982,	-0.20000000298023224,	0.0,	9.529999732971191,	-0.0625,	0.0625,	-0.1875
14.847121899965966,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.1875,	-0.25
14.85276934077995,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.1875,	-0.25
14.858416781593936,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.1875,	-0.125,	-0.125
14.86406422240792,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.1875,	-0.125,	-0.125
14.869711663221905,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	0.0
14.87535910403589,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.0625,	0.0
14.881006544849875,	-0.15000000596046448,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0,	-0.125
14.886653985663859,	-0.15000000596046448,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0,	-0.125
14.892301426477845,	-0.17000000178813934,	-0.009999999776482582,	9.5600004196167,	0.0,	0.125,	-0.0625
14.897948867291829,	-0.18000000715255737,	0.0,	9.550000190734863,	0.1875,	0.0,	-0.0625
14.903596308105813,	-0.17000000178813934,	-0.019999999552965164,	9.5600004196167,	0.1875,	0.0,	-0.0625
14.909243748919799,	-0.17000000178813934,	-0.019999999552965164,	9.5600004196167,	-0.125,	-0.0625,	-0.0625
14.914891189733783,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	-0.125,	-0.0625,	-0.0625
14.920538630547767,	-0.1899999976158142,	0.0,	9.5600004196167,	0.1875,	-0.125,	-0.0625
14.926186071361753,	-0.1899999976158142,	0.0,	9.5600004196167,	0.1875,	-0.125,	-0.0625
14.931833512175738,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0625,	-0.0625,	-0.1875
14.937480952989722,	-0.15000000596046448,	0.009999999776482582,	9.539999961853027,	0.0,	0.0,	-0.125
14.943128393803708,	-0.15000000596046448,	0.009999999776482582,	9.539999961853027,	0.0,	0.0,	-0.125
14.948775834617692,	-0.17000000178813934,	0.0,	9.529999732971191,	0.125,	0.0,	-0.0625
14.954423275431676,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	0.125,	0.0,	-0.0625
14.960070716245662,	-0.17000000178813934,	-0.019999999552965164,	9.579999923706055,	-0.0625,	-0.0625,	-0.0625
14.965718157059646,	-0.17000000178813934,	-0.019999999552965164,	9.579999923706055,	-0.0625,	-0.0625,	-0.0625
14.971365597873632,	-0.18000000715255737,	-0.029999999329447746,	9.550000190734863,	0.0625,	0.0625,	-0.1875
14.977013038687616,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.0625,	0.0625,	-0.1875
14.9826604795016,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.0625,	0.0625,	-0.1875
14.988307920315586,	-0.1599999964237213,	-0.019999999552965164,	9.5600004196167,	0.0,	0.0,	-0.1875
14.99395536112957,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	0.0,	0.0,	-0.1875
14.999602801943555,	-0.18000000715255737,	-0.019999999552965164,	9.550000190734863,	0.0,	-0.0625,	-0.125
15.00525024275754,	-0.18000000715255737,	-0.019999999552965164,	9.550000190734863,	0.0,	-0.0625,	-0.125
15.010897683571525,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	0.0,	-0.1875
15.016545124385509,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	0.0,	-0.1875
15.022192565199495,	-0.17000000178813934,	0.0,	9.5600004196167,	0.0,	-0.0625,	0.0
15.027840006013479,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0,	0.0625,	-0.1875
15.033487446827463,	-0.1899999976158142,	0.009999999776482582,	9.550000190734863,	0.0,	0.0625,	-0.1875
15.039134887641449,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0,	-0.125,	-0.125
15.044782328455433,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0,	-0.125,	-0.125
15.050429769269417,	-0.1899999976158142,	-0.019999999552965164,	9.539999961853027,	-0.0625,	0.0625,	-0.0625
15.056077210083403,	-0.18000000715255737,	0.0,	9.5600004196167,	-0.0625,	0.0625,	-0.0625
15.061724650897387,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	-0.0625,	0.0625
15.067372091711372,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0,	-0.0625,	0.0625
15.073019532525358,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	0.0,	-0.0625,	0.0625
15.078666973339342,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	-0.125,	0.0,	0.0625
15.084314414153326,	-0.18000000715255737,	0.0,	9.579999923706055,	-0.125,	0.0,	0.0625
15.089961854967312,	-0.20000000298023224,	-0.009999999776482582,	9.550000190734863,	0.125,	-0.1875,	-0.0625
15.095609295781296,	-0.18000000715255737,	-0.009999999776482582,	9.510000228881836,	0.125,	-0.1875,	-0.0625
15.10125673659528,	-0.18000000715255737,	-0.009999999776482582,	9.510000228881836,	0.0625,	0.0,	-0.0625
15.106904177409266,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.0625
15.11255161822325,	-0.1899999976158142,	0.0,	9.520000457763672,	-0.0625,	0.0,	-0.125
15.118199059037234,	-0.1899999976158142,	0.0,	9.520000457763672,	-0.125,	0.125,	-0.0625
15.12384649985122,	-0.1599999964237213,	0.0,	9.529999732971191,	-0.125,	0.125,	-0.0625
15.129493940665204,	-0.18000000715255737,	0.009999999776482582,	9.529999732971191,	-0.0625,	0.125,	-0.0625
15.135141381479189,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.125,	-0.0625
15.140788822293175,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.125,	-0.1875
15.146436263107159,	-0.15000000596046448,	-0.029999999329447746,	9.520000457763672,	-0.0625,	0.125,	-0.1875
15.152083703921145,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.0625,	-0.25
15.157731144735129,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.0625,	-0.0625
15.163378585549113,	-0.1599999964237213,	-0.029999999329447746,	9.529999732971191,	-0.0625,	0.0625,	-0.0625
15.169026026363099,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.1875,	-0.0625
15.174673467177083,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.1875,	-0.0625
15.180320907991067,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0625,	0.0,	-0.125
15.185968348805053,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.125
15.191615789619037,	-0.18000000715255737,	-0.009999999776482582,	9.510000228881836,	-0.0625,	-0.125,	-0.0625
15.197263230433022,	-0.18000000715255737,	-0.009999999776482582,	9.510000228881836,	-0.0625,	-0.125,	-0.0625
15.202910671247007,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.125,	0.0625,	-0.0625
15.208558112060992,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0625,	-0.125,	-0.1875
15.214205552874976,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	0.0625,	-0.125,	-0.1875
15.219852993688962,	-0.1599999964237213,	0.0,	9.550000190734863,	-0.0625,	0.1875,	-0.125
15.225500434502946,	-0.17000000178813934,	0.0,	9.520000457763672,	-0.0625,	0.1875,	-0.125
15.23114787531693,	-0.17000000178813934,	0.0,	9.520000457763672,	0.0625,	-0.0625,	-0.125
15.236795316130916,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0625,	-0.0625,	-0.125
15.2424427569449,	-0.1599999964237213,	-0.019999999552965164,	9.550000190734863,	-0.0625,	-0.125,	-0.1875
15.248090197758884,	-0.1599999964237213,	-0.019999999552965164,	9.5600004196167,	0.0,	0.0625,	-0.0625
15.25373763857287,	-0.1599999964237213,	-0.019999999552965164,	9.5600004196167,	0.0,	0.0625,	-0.0625
15.259385079386854,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	0.0,	0.0
15.265032520200839,	-0.17000000178813934,	-0.019999999552965164,	9.569999694824219,	0.0,	0.0,	0.0
15.270679961014824,	-0.17000000178813934,	-0.019999999552965164,	9.569999694824219,	-0.0625,	0.0625,	-0.0625
15.276327401828809,	-0.1899999976158142,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0625,	-0.0625
15.281974842642793,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	0.0,	0.0625,	0.0
15.287622283456779,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	0.0625,	0.0
15.293269724270763,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	0.0
15.298917165084747,	-0.17000000178813934,	0.0,	9.539999961853027,	0.0625,	-0.1875,	-0.125
15.304564605898733,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0625,	-0.1875,	-0.125
15.310212046712717,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0625,	-0.1875,	-0.0625
15.315859487526701,	-0.1599999964237213,	0.0,	9.539999961853027,	0.0625,	-0.1875,	-0.0625
15.321506928340687,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.0,	0.0625
15.327154369154671,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.0,	0.0625
15.332801809968657,	-0.1899999976158142,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.1875
15.338449250782642,	-0.20000000298023224,	-0.009999999776482582,	9.539999961853027,	0.0,	0.125,	-0.0625
15.344096691596626,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0,	0.125,	-0.0625
15.349744132410612,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.0625,	-0.0625
15.355391573224596,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	-0.0625,	-0.0625
15.36103901403858,	-0.20000000298023224,	-0.029999999329447746,	9.5600004196167,	0.125,	-0.125,	-0.125
15.366686454852566,	-0.20000000298023224,	-0.029999999329447746,	9.5600004196167,	0.125,	-0.125,	-0.125
15.37233389566655,	-0.1599999964237213,	-0.019999999552965164,	9.550000190734863,	-0.0625,	-0.125,	0.0625
15.377981336480534,	-0.18000000715255737,	0.0,	9.529999732971191,	-0.0625,	-0.125,	0.0625
15.38362877729452,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	0.0,	-0.0625
15.389276218108504,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.125,	0.0,	-0.0625
15.394923658922488,	-0.1599999964237213,	0.0,	9.5600004196167,	-0.125,	0.0,	-0.0625
15.400571099736474,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	-0.1875,	-0.0625
15.406218540550459,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	-0.1875,	-0.0625
15.411865981364443,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	0.0625,	0.0,	0.0
15.417513422178429,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0625,	0.0,	0.0
15.423160862992413,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0625,	-0.125,	-0.125
15.428808303806397,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.0625,	0.0,	-0.0625
15.434455744620383,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.0625
15.440103185434367,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0,	0.0625,	-0.1875
15.445750626248351,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0,	0.0625,	-0.1875
15.451398067062337,	-0.17000000178813934,	-0.029999999329447746,	9.529999732971191,	0.0,	0.0625,	-0.125
15.457045507876321,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	0.0625,	-0.125
15.462692948690306,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.0625
15.468340389504291,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.0625
15.473987830318276,	-0.15000000596046448,	0.0,	9.550000190734863,	-0.125,	-0.0625,	-0.0625
15.47963527113226,	-0.15000000596046448,	0.0,	9.550000190734863,	0.125,	0.125,	-0.1875
15.485282711946246,	-0.17000000178813934,	0.0,	9.5600004196167,	0.125,	0.125,	-0.1875
15.49093015276023,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.0625
15.496577593574214,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.0625
15.5022250343882,	-0.1599999964237213,	0.0,	9.569999694824219,	0.125,	-0.1875,	-0.125
15.507872475202184,	-0.18000000715255737,	0.0,	9.520000457763672,	0.125,	-0.1875,	-0.125
15.51351991601617,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	0.0,	0.0
15.519167356830154,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.125
15.524814797644138,	-0.17000000178813934,	0.0,	9.569999694824219,	-0.0625,	0.0,	-0.125
15.530462238458124,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	-0.125,	-0.125
15.536109679272109,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	-0.125,	-0.125
15.541757120086093,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	0.125,	-0.125
15.547404560900079,	-0.1599999964237213,	0.0,	9.569999694824219,	0.0,	0.125,	-0.125
15.553052001714063,	-0.1899999976158142,	-0.03999999910593033,	9.529999732971191,	0.0,	0.125,	-0.125
15.558699442528047,	-0.1899999976158142,	-0.03999999910593033,	9.529999732971191,	0.0,	0.125,	-0.125
15.564346883342033,	-0.17000000178813934,	0.0,	9.529999732971191,	0.125,	0.0625,	-0.125
15.569994324156017,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.1875
15.575641764970001,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.1875
15.581289205783987,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	0.1875,	-0.125
15.586936646597971,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.1875,	-0.125
15.592584087411955,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	-0.125,	0.1875,	-0.0625
15.598231528225941,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.125,	0.1875,	-0.0625
15.603878969039926,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.25,	-0.125
15.60952640985391,	-0.15000000596046448,	-0.019999999552965164,	9.550000190734863,	-0.0625,	-0.0625,	-0.125
15.615173850667896,	-0.15000000596046448,	-0.019999999552965164,	9.550000190734863,	-0.0625,	-0.0625,	-0.125
15.62082129148188,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0,	-0.0625,	0.0
15.626468732295864,	-0.1599999964237213,	0.0,	9.510000228881836,	0.0,	-0.0625,	0.0
15.63211617310985,	-0.1599999964237213,	0.0,	9.510000228881836,	-0.0625,	0.1875,	-0.125
15.637763613923834,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.1875,	-0.125
15.643411054737818,	-0.1899999976158142,	-0.009999999776482582,	9.579999923706055,	-0.0625,	-0.0625,	-0.125
15.649058495551804,	-0.1899999976158142,	-0.009999999776482582,	9.579999923706055,	-0.0625,	-0.0625,	-0.125
15.654705936365788,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.0625,	-0.125
15.660353377179772,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.125,	-0.125,	-0.125
15.666000817993758,	-0.18000000715255737,	-0.019999999552965164,	9.510000228881836,	-0.125,	-0.125,	-0.125
15.671648258807743,	-0.18000000715255737,	-0.019999999552965164,	9.510000228881836,	-0.0625,	0.0625,	-0.0625
15.677295699621727,	-0.18000000715255737,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.0625,	-0.0625
15.682943140435713,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.0625,	-0.1875
15.688590581249697,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.0625,	-0.1875
15.694238022063683,	-0.17000000178813934,	0.0,	9.550000190734863,	0.125,	-0.0625,	0.0
15.699885462877667,	-0.17000000178813934,	0.0,	9.539999961853027,	0.0625,	-0.0625,	-0.125
15.705532903691651,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.0625,	-0.125
15.711180344505637,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0625,	0.0625,	0.0
15.716827785319621,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0625,	0.0
15.722475226133605,	-0.18000000715255737,	-0.019999999552965164,	9.539999961853027,	0.1875,	-0.0625,	-0.1875
15.728122666947591,	-0.18000000715255737,	-0.019999999552965164,	9.539999961853027,	0.1875,	-0.0625,	-0.1875
15.733770107761575,	-0.17000000178813934,	-0.019999999552965164,	9.529999732971191,	0.1875,	-0.0625,	-0.1875
15.73941754857556,	-0.17000000178813934,	0.0,	9.5600004196167,	-0.125,	-0.0625,	-0.0625
15.745064989389546,	-0.18000000715255737,	-0.009999999776482582,	9.520000457763672,	-0.125,	-0.0625,	-0.0625
15.75071243020353,	-0.18000000715255737,	-0.009999999776482582,	9.520000457763672,	-0.0625,	-0.0625,	-0.125
15.756359871017514,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.125
15.7620073118315,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.1875
15.767654752645484,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.1875
15.773302193459468,	-0.17000000178813934,	0.0,	9.539999961853027,	0.0,	0.0,	-0.0625
